WP,Name,Project Activity,Lead,Q1,Q2,Q3,Q4,Q5,Q6,...11,Import Sheet:,https://docs.google.com/spreadsheets/d/16kp07lznZkFkLRb24M7zXG0vL5r4hSt27JalfAdPvdE/edit#gid=0
WP1,Identification of ORD tools and workflows for publication of FAIR qualitative data in Td research,Activity 1.1: Literature review on existing practices of FAIR and open data for Td and qualitative research,LS,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP1,Identification of ORD tools and workflows for publication of FAIR qualitative data in Td research,Activity 1.2: Identification of tools for the collection of and transcription of data,LS,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP1,Identification of ORD tools and workflows for publication of FAIR qualitative data in Td research,Activity 1.3: Development of workflows for transformation of text files in different formats to machine-readable table format,LS,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP2,Evaluation of current data practices and identification of training and education needs,Activity 2.1: Ethics application explaining the unique character of our study.,TdLab,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP2,Evaluation of current data practices and identification of training and education needs,Activity 2.2: Workshop at the ITD Conference 2024 to identify and systematize  diverse perspectives on the topic,CP,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP2,Evaluation of current data practices and identification of training and education needs,Activity 2.3: Identification and recruitment of interview respondents. Conduct interviews (in-person or via zoom) with 10 to 20 respondents,TdLab,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP2,Evaluation of current data practices and identification of training and education needs,Activity 2.4: Transcription and conversion of interview audio files,TdLab,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP2,Evaluation of current data practices and identification of training and education needs,Activity 2.5: Qualitative coding and analysis of interview data,TdLab,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP2,Evaluation of current data practices and identification of training and education needs,Activity 2.6: Transformation of interview data to ORD using workflows defined in WP1,LS,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP3,Development of guidelines and protocols for FAIR qualitative data in Td research,"Activity 3.1: Development of conditions for when sharing of qualitative data from Td processes is valuable, or when it should be avoided",TdLab,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP3,Development of guidelines and protocols for FAIR qualitative data in Td research,"Activity 3.2: Development of technical protocols for how to share specific types of data (interview transcripts, workshop findings, multimedia)",LS,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP3,Development of guidelines and protocols for FAIR qualitative data in Td research,Activity 3.3: Create example data sharing website using the data generated in our project.,LS,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP3,Development of guidelines and protocols for FAIR qualitative data in Td research,Activity 3.4: 1 day in-person workshop at ETH to develop fully usable guidelines,CP,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP4,Building a community of practice for FAIR qualitative data in Td research,Activity 4.1: Interactive webinar to share our results and dialogue with Td community,TdLab,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP4,Building a community of practice for FAIR qualitative data in Td research,"Activity 4.2: Sharing of website as a demo project, with data collected from our project displayed in engaging formats",LS,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP4,Building a community of practice for FAIR qualitative data in Td research,Activity 4.3: Publication of scientific article describing our project and results in a widely read Td or qualitative journal,TdLab,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP4,Building a community of practice for FAIR qualitative data in Td research,"Activity 4.4:  Develop protocols suitable to be shared online in on-going Td toolkitsonline (such as ShapeID, TdNet toolbox).",TdLab,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP4,Building a community of practice for FAIR qualitative data in Td research,Activity 4.5: Presentation of FAIRQual guidelines and protocols at Td and qualitative conferences by members of the TdLab,TdLab,NA,NA,NA,NA,NA,NA,NA,NA,NA
